GEOID,county,Pop,White,Black,Asian,Hispanic
48439111024,439,5298,20.03,56.0,10.7,8.49
48439111025,439,4037,20.88,13.82,0.97,56.65
48439111026,439,6298,12.23,48.3,0.62,32.17
48439111027,439,4407,16.36,53.12,3.15,27.37
48439111028,439,6791,50.32,19.07,0.19,26.03
48439111029,439,7272,55.45,4.41,4.91,23.36
48439111030,439,4209,77.62,7.34,3.64,7.86
48439111031,439,1700,32.88,44.82,7.12,14.12
48439111032,439,5774,41.95,29.39,10.05,16.61
48439111033,439,4370,34.69,36.86,10.16,16.45
48439111102,439,5987,5.75,54.85,0.0,36.75
48439111103,439,4262,4.65,43.13,0.0,52.23
48439111104,439,2849,8.53,38.43,0.11,51.14
48439111202,439,6232,20.64,26.27,0.35,50.45
48439111203,439,7557,46.96,12.11,0.41,34.13
48439111204,439,4437,76.52,4.69,1.74,16.54
